currency,directive,O.Country,country,expenseTypeCode,Rate,vatThreshold,comparison,amount,status,reason
EUR,Any,Any,CZ,12,21,2,LT,11.52,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CZ,18,21,2,LT,11.52,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CZ,20,21,2,LT,11.52,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CZ,22,15,2,LT,15.33,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CZ,25,21,2,LT,11.52,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CZ,27,21,2,LT,11.52,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CZ,30,21,2,LT,11.52,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CZ,31,21,2,LT,11.52,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CZ,34,21,2,LT,11.52,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DE,4,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DE,5,7,2,LT,30.57,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DE,6,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DE,12,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DE,18,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DE,20,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DE,21,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DE,22,7,2,LT,30.57,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DE,25,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DE,27,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DE,30,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DE,31,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DE,34,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DK,5,25,2,LT,10,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DK,6,25,2,LT,10,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DK,12,25,2,LT,10,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DK,18,25,2,LT,10,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DK,20,25,2,LT,10,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DK,25,5.26,2,LT,40.02,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DK,27,25,2,LT,10,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DK,30,25,2,LT,10,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DK,31,25,2,LT,10,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DK,34,25,2,LT,10,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DO,4,18,2,LT,13.11,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DO,5,18,2,LT,13.11,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DO,6,18,2,LT,13.11,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DO,12,18,2,LT,13.11,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DO,18,18,2,LT,13.11,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DO,20,18,2,LT,13.11,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DO,21,18,2,LT,13.11,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DO,22,18,2,LT,13.11,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DO,25,18,2,LT,13.11,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DO,27,18,2,LT,13.11,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
